RHA_Year,Agricultural_use,Aquacultural_use,Availability,DBO5_contaminated,Domestic_use,DQO_contaminated,Industrial_use,Livestock_use,Multiple_use,PIB,Population_density,Public_urban_use,Rainfall,Runoff,Services_use,SST_contaminated,Temperature,Water_stress,Water_stress_lagged
Aguas del Valle de México_2006,4172.55,44.44,3009,72.0,4.24,88.0,344.53,9.29,239.56,25.5,1146.2960118492513,4262.29,793.25,1174,29.77,28.0,16.222948709218965,154.28,119.11
Aguas del Valle de México_2007,4182.87,44.44,3008,68.0,4.24,76.0,343.23,9.29,242.67,24.726666666666663,1153.9289044928412,4270.94,827.0,1174,54.07,0.0,16.161931778381845,155.1,154.28
Aguas del Valle de México_2008,4204.56,44.19,3514,68.0,4.23,72.0,367.56,8.41,240.24,24.726666666666663,1168.3016073289814,4209.37,726.25,1174,55.33,40.0,15.969565402206893,132.31,155.1
Aguas del Valle de México_2009,4216.28,45.45,3513,75.0,5.09,83.4,267.65,7.52,329.01,24.66,1175.0907894015031,4208.67,724.0,1174,56.65,32.0,16.3064804631443,132.58,132.31
Aguas del Valle de México_2010,4268.97,45.33,3515,66.7,5.14,74.1,276.16,7.52,339.78,24.32,1205.1538756925777,4230.28,819.0,1174,60.09,14.9,15.603829871243358,133.89,132.58
Aguas del Valle de México_2011,4287.47,45.33,3468,55.0,5.14,80.0,282.21,7.52,337.56,23.98,1227.3953590432825,4232.57,717.25,1112,60.09,15.0,16.05750321492344,136.04,133.89
Aguas del Valle de México_2012,4295.51,45.33,3468,27.299999999999997,5.44,60.0,289.1,7.52,326.19,23.86,1243.4401228811234,4247.7,674.75,1112,43.25,7.3,15.995208333333334,136.08,136.04
Aguas del Valle de México_2013,4351.86,45.33,3468,35.8,5.44,76.19999999999999,295.49,7.52,325.43,24.81,1251.6204948159527,4250.28,790.5,1112,50.46,11.9,16.85566611224889,137.79,136.08
Aguas del Valle de México_2014,4325.82,45.33,3458,19.6,5.44,64.9,295.65,7.6,325.98,24.49,1264.6513796697568,4261.64,785.25,1112,49.09,3.1,16.497916666666665,137.99,137.79
Aguas del Valle de México_2015,4339.58,40.85,3442,33.3,4.41,73.3,294.41,7.59,324.06,24.88,1275.8110702726424,4253.39,708.0,1112,56.33,16.0,16.575,138.69,137.99
Aguas del Valle de México_2016,4347.2,40.85,3437,43.5,4.41,78.1,282.35,7.59,321.33,24.63,1282.6238411322615,4260.97,754.0,1106,72.83,15.1,16.789583333333333,139.15,138.69
Aguas del Valle de México_2017,4342.24,40.86,3401,42.3,4.4,76.1,296.41,7.61,322.19,24.2,1295.6311371989689,4277.85,674.0,1106,98.15,1.4,16.764583333333334,141.38,139.15
Aguas del Valle de México_2018,4350.77,40.86,3401,35.099999999999994,4.43,86.5,293.5,8.11,321.14,24.726666666666663,1304.6914257501783,3417.32,780.5,1106,127.88,2.7,16.747916666666665,129.24,141.38
Aguas del Valle de México_2019,4386.17,40.86,3401,48.400000000000006,4.43,71.0,297.13,8.11,310.56,24.726666666666663,1313.8789840364257,3414.19,601.5,1106,135.45,9.7,17.5,129.73,129.24
Balsas_2006,11803.39,420.7,21277,26.2,19.62,62.800000000000004,434.33,6.3,335.07,12.0,90.05960202337704,1682.98,1000.4,17057,98.48,11.7,18.87069830601174,49.68,36.96
Balsas_2007,11880.15,424.02,21657,21.3,19.64,44.7,436.44,6.3,338.1,7.651666666666667,90.50824895438815,2008.94,995.6,17057,102.1,2.0,18.721199773108292,49.77,49.68
